ID,Parent Company,Acquired Company,Business,Acquisition Date
378,Hp,The Technology Partners,Information technology consulting,2006-06-01
379,Hp,VoodooPC,Computer manufacturer,2006-10-01
380,Hp,Mercury Interactive,Computer software,2006-11-01
381,Hp,Knightsbridge Solutions,Information management,
382,Hp,Bitfone Corp.,Computer software,
383,Hp,Bristol Technology,Computer software,
384,Hp,Polyserve,Computer software,
385,Hp,Tabblo Inc.,Computer software,
386,Hp,Arteis,Computer software,
387,Hp,SPI Dynamic Inc.,Computer software,
388,Hp,Opsware,Computer software,2007-07-01
389,Hp,Neoware,Thin client,
390,Hp,MacDermid ColorSpan Inc.,Printer manufacturer,
391,Hp,Atos Origin Middle East Group,Information technology consulting,
392,Hp,EYP Mission Critical Facilities Inc.,Information technology consulting,2008-02-01
393,Hp,NUR Macroprinters Ltd,Printer,2008-03-01
394,Hp,Exstream Software,Computer software,2008-03-01
395,Hp,TOWER Software,Computer software,
396,Hp,Colubris Networks,Wireless networking,
397,Hp,Electronic Data Systems,Information technology consulting,2008-08-01
398,Hp,LeftHand Networks Inc.,Data storage,
399,Hp,"IBRIX, Inc.",Computer software,2009-08-01
400,Hp,3Com,Computer networking,2010-04-01
401,Hp,Melodeo,Computer software,2010-06-01
402,Hp,Phoenix Technologies,Computer software,2010-06-01
403,Hp,"Palm, Inc.",Smartphone manufacturer,2010-07-01
404,Hp,Stratavia,Computer software,2010-08-01
405,Hp,3PAR,Data Storage,2010-09-01
406,Hp,Fortify Software,Computer software,2010-09-01
407,Hp,ArcSight,Corporate computer security management,2010-10-01
408,Hp,"Vertica Systems, Inc.",Enterprise database software,2011-03-01
409,Hp,Autonomy Corporation,Information management,2011-10-01
410,Hp,Hiflex,Information management,2011-12-01
411,Hp,Memlane,Information technology,2013-02-01
412,Hp,Shunra,Computer networking software,2014-05-01
413,Hp,Eucalyptus,Cloud computing software,2014-09-01
414,Hp,Voltage Security,Cloud security software,2015-05-01
415,Hp,Aruba Networks,Mobile networking,2015-02-01
416,Hp,ConteXtream,Networking software,2015-05-01
417,Hp,Trilead,Data protection software,2016-02-01
418,Hp,RASA Networks,Network Performance and Analytics software,2016-05-01
419,Hp,SGI,Computer hardware,2016-08-01
420,Hp,Samsung's Printing Business,Printing and Imaging,
421,Hp,SimpliVity,Hyperconverged Infrastructure,2017-05-01
422,Hp,Cloud Cruiser,Cloud Cost Management and Optimization,2017-01-01
423,Hp,Nimble Storage,Flash and Hybrid Data Storage,
424,Hp,HyperX,Computer peripherals,2021-02-01
425,Hp,Teradici,Remote desktop software,2021-10-01
426,Google,Dejavue,Usenet,2001-02-01
427,Google,Outride,Web search engine,2001-09-01
428,Google,Pyra Labs,Weblog software,2003-02-01
429,Google,Neotonic Software,Customer relationship management,2003-04-01
430,Google,Applied Semantics,Online advertising,2003-04-01
431,Google,Kaltix,Web search engine,2003-09-01
432,Google,Sprinks,Online advertising,2003-10-01
433,Google,Genius Labs,Blogging,2003-10-01
434,Google,Ignite Logic,HTML editor,2004-05-01
435,Google,Picasa,Image organizer,2004-07-01
436,Google,ZipDash,Traffic analysis,2004-09-01
437,Google,Where2,Map analysis,2004-10-01
438,Google,Keyhole,Map analysis,2004-10-01
439,Google,Urchin Software Corporation,Web analytics,2005-03-01
440,Google,Dodgeball,Social networking service,2005-05-01
441,Google,Akwan Information Technologies,Search engines,2005-07-01
442,Google,Reqwireless,Mobile browser,2005-07-01
443,Google,Android,Mobile operating system,2005-08-01
444,Google,Skia,Graphics library,2005-11-01
445,Google,Phatbits,Widget engine,2005-12-01
446,Google,allPAY,Mobile software,2005-12-01
447,Google,bruNET,Mobile software,2005-12-01
448,Google,dMarc Broadcasting,Advertising,2006-01-01
449,Google,Measure Map,Weblog software,2006-02-01
450,Google,Upstartle,Word processor,2006-03-01
451,Google,@Last Software,3D modeling software,2006-03-01
452,Google,Orion,Web search engine,2006-04-01
453,Google,2Web Technologies,Online spreadsheets,2006-06-01
454,Google,Neven Vision Germany,Computer vision,2006-08-01
455,Google,YouTube,Video sharing,2006-10-01
456,Google,JotSpot,Web application,2006-10-01
457,Google,Endoxon,Mapping,2006-12-01
458,Google,Adscape,In-game advertising,2007-02-01
459,Google,Trendalyzer,Statistical software,2007-03-01
460,Google,Crusix,Social networking service,2007-05-01
461,Google,Tonic Systems,Presentation program,2007-04-01
462,Google,Marratech,Videoconferencing,2007-04-01
463,Google,DoubleClick,Online advertising,2007-04-01
464,Google,GreenBorder,Computer security,2007-05-01
465,Google,Panoramio,Photo sharing,2007-06-01
466,Google,FeedBurner,Web feed,2007-06-01
467,Google,PeakStream,Parallel processing,2007-06-01
468,Google,Zenter,Presentation program,2007-06-01
469,Google,GrandCentral,Voice over IP,2007-07-01
470,Google,ImageAmerica,Aerial photography,2007-07-01
471,Google,Postini,Communications security,2007-07-01
472,Google,Zingku,Social networking service,2007-09-01
473,Google,Jaiku,Microblogging,2007-10-01
474,Google,Omnisio,Online video,2008-07-01
475,Google,TNC,Weblog software,2008-09-01
476,Google,On2,Video compression,2009-08-01
477,Google,reCAPTCHA,Security,2009-09-01
478,Google,AdMob,Mobile advertising,2009-11-01
479,Google,Gizmo5,Voice over IP,2009-11-01
480,Google,Teracent,Online advertising,2009-11-01
481,Google,AppJet,Collaborative real-time editor,2009-12-01
482,Google,Aardvark,Social search,2010-02-01
483,Google,reMail,Email search,2010-02-01
484,Google,Picnik,Photo editing,2010-03-01
485,Google,DocVerse,Microsoft Office files sharing site,2010-03-01
486,Google,Episodic,Online video platform start-up,2010-04-01
487,Google,Plink,Visual search engine,2010-04-01
488,Google,Agnilux,Server CPUs,2010-04-01
489,Google,LabPixies,Gadgets,2010-04-01
490,Google,BumpTop,Desktop environment,2010-04-01
491,Google,Global IP Solutions,Video and audio compression,2010-05-01
492,Google,Simplify Media,Music streaming,2010-05-01
493,Google,Ruba.com,Travel,2010-05-01
494,Google,Invite Media,Advertising,2010-06-01
495,Google,Metaweb,Semantic search,2010-07-01
496,Google,Zetawire,"Mobile payment, NFC",2010-08-01
497,Google,Instantiations,Java/Eclipse/AJAX developer tools,2010-08-01
498,Google,Slide.com,Social gaming,2010-08-01
499,Google,Jambool,Social Gold payment,2010-08-01
500,Google,Like.com,Visual search engine,2010-08-01
501,Google,Angstro,Social networking service,2010-08-01
502,Google,SocialDeck,Social gaming,2010-08-01
503,Google,Quiksee,Online video,2010-09-01
504,Google,Plannr,Schedule management,2010-09-01
